gtsam_id,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,bias_acc_x,bias_acc_y,bias_acc_z,bias_gyro_x,bias_gyro_y,bias_gyro_z,new_factors_error
9,-0.44825791368245665,3.1028803164224614,-0.022558660507880093,-0.7755678480405306,1.7711424943956375,-0.010875780936730105,0.0248182659914976,-0.00554867665323915,-0.0096206605064146,-0.00020969438381113575,0.0002484386764793978,-0.01366049614710309,15.60767475875461
10,-0.6136984611093379,3.48210541354183,-0.029563062585576613,-0.8658277939785752,1.7991521940913398,-0.016440533017034676,0.02529960647606493,0.002473965567296079,-0.008310905950655091,-0.000370588130760886,0.0002796152341761878,-0.01370191952820275,18.785766374071912
11,-0.8189331388110456,3.8588774336504463,-0.02128955320058953,-1.0946644125097138,1.775357982193828,0.07036576604765578,0.022460766063305243,0.00026111010147904625,-0.009636236090469378,-0.0003122722012292674,0.0001741059637500824,-0.013774164159149057,4.429306533719356
12,-1.07906868238136,4.226672234655152,-0.014201900131626444,-1.3722194352886385,1.7356018407964156,0.035634125565068106,0.019935181439478502,-0.0010929156738059608,-0.004100151546109325,-0.00025698648711359616,0.00019452873486159325,-0.013880569070560692,23.278198830764506
13,-1.4175872181427807,4.636224226421336,-0.01314081673095368,-1.6414171446843513,1.7950188110627825,0.003478485513830863,0.003184812738944793,-0.004167890766096877,-0.0014061090122950743,-0.00044560334726754446,0.00019636942132313765,-0.013947721529684995,60.6110130200233
14,-1.7980983350056496,4.975978196871022,-0.021270149750992,-2.0378603906555997,1.7040595060054111,-0.005185598594031279,-0.011024983157788798,-0.006808031927464458,0.0041486110372729555,-0.00039707626541008535,0.00020005773425581577,-0.013935963086528183,40.12060537716997
15,-2.2210260444670435,5.240156419714724,-0.02752221372381891,-2.3774702565932806,1.5449953999605026,-0.030052422252472497,-0.011885775026338157,-0.0024725187544864793,0.0059472787685326284,-0.00035385223844875617,0.00021054748236493933,-0.013930299845432474,14.34821714916848
16,-2.6762723150695424,5.4181191395500905,-0.026462127544139,-2.7372995091163235,1.2960760726513187,-0.019706604487268346,-0.002850827393296205,0.0038480902343171414,0.003004631334193124,-0.00037599511678281037,0.00017904286146520182,-0.013888393115265359,7.019550881607886
17,-3.2275103612985254,5.59140058468147,-0.02312190438544867,-3.1254366154082036,1.05921026082389,0.032864912912137584,-0.005819714894144091,0.01525965021739726,0.0010807811968715673,-0.0003632863290447327,0.00011833749135722527,-0.013854340101831336,7.780756994481097
18,-3.790910068788684,5.637946294122316,-0.011087829007334,-3.47226700105368,0.733445143715614,0.011377579133483947,-0.004224900241475004,0.03209868413379158,-0.002560650672425657,-0.00033584064083088766,0.0001220712598171139,-0.013736797515546443,52.862024313273835
19,-4.459149370679713,5.645121891053875,-0.025623743617386147,-3.859647097524308,0.3597014044230757,-0.07759136408651936,-0.010132883832998475,0.047776746253291924,0.0022196047110367876,-0.00018863283630090455,0.00010493914668745395,-0.013564746401936003,51.40941120210638
20,-5.146414628582141,5.567569601576648,-0.05665049904177405,-4.15165261464171,0.11790790425262684,-0.09055203937617902,-0.0076280671503292045,0.07457916500793353,0.006186507626043895,-0.0002321037670641799,0.00014595190666589233,-0.013374364189270304,61.62790700789219
21,-5.876381272564004,5.464644130211046,-0.0737446516159849,-4.3820575459257975,-0.18403097559482795,-0.049555816809923846,0.001220684446952407,0.0879163879553953,0.005462591621180561,-0.0002286766402716603,0.00014623306544596392,-0.013173327920506699,96.48337441757054
22,-6.784267170626402,5.372604094925477,-0.08645696420757804,-4.685371687788108,-0.45038308858304005,-0.05795206750109406,5.999396338381689e-05,0.08124744601895897,0.0023865196472589376,-0.0002331794620110079,0.00014463208879020076,-0.01287843375261156,144.56262189379612
23,-7.723689831970816,5.225069262798434,-0.09065055887805927,-4.979863914189791,-0.6355193368590956,0.051644589445598924,-0.0023740199110101464,0.085518978358675,0.0020948916300788556,-0.00025184436140752433,0.0001021207854559252,-0.012661134477470437,105.17231693836811
24,-8.80867298120402,5.063512113057265,-0.08574889485364612,-5.320310127882089,-0.7693649166909114,0.002070476787661827,-0.0123446127687768,0.07980197266844793,0.003030777608625089,-0.000296684497748067,9.888540518610323e-05,-0.012456321249089056,203.3904943017667
25,-11.83217094618002,4.658475002044971,-0.11307997285633067,-6.094552811891285,-0.8394265288254926,-0.09825077182252999,-0.01570533352011018,0.07804010543515683,0.010668246816244974,-0.00032611877792849525,0.00015809717272642193,-0.012140560807113444,209.24431134449998
26,-13.162636200335037,4.494627186882311,-0.11860408998875632,-6.41839926201548,-0.82447090651587,-0.05621131980859093,-0.01778001625669756,0.07674578928720023,0.005490187897891291,-0.00030249185473399897,4.3182911698073936e-05,-0.012048924846069628,66.90559889006367
27,-14.644433402742576,4.341524021988268,-0.12489036897075981,-6.73879606903864,-0.8483480264940567,-0.020212505903249488,-0.02182548559568319,0.06883392248026936,0.006491252017135582,-0.0002909151131683307,5.49608203641613e-05,-0.011970360925208522,68.04480416652515
28,-15.924008102944775,4.157757373365764,-0.13964447417455722,-6.942884661542316,-0.8040053187977116,-0.13826406225073176,-0.013444667459229395,0.0763904234905879,0.007251617139179491,-0.00022074164942727112,0.00014079715678092907,-0.011901905514048697,85.30187969541203
29,-17.525648574937044,4.0021687491886375,-0.16227113307650026,-7.215184775312188,-0.7652191862841589,-0.06537681347602516,-0.016933371161732335,0.07118126187716277,0.006762109493698122,-0.0002765794931597627,7.49735371892011e-05,-0.01183556772158954,85.33726842789743
30,-19.950233729232007,3.775225059885133,-0.17330906778016356,-7.396268547593798,-0.7775495307410341,-0.11199745231084691,-0.012853073311624885,0.056128165800173414,0.008409210610958326,-0.0002009775736401462,0.0001835503500431797,-0.011751310943868273,123.85783051107167
31,-21.489923670906634,3.591901222885975,-0.1862182452947444,-7.509333129076216,-0.7989990186852268,-0.10852533801517443,-0.012703865296441198,0.046598429066975366,0.00852789726494711,-0.00023771335474557847,0.00014898483386543995,-0.011684434132915063,85.35583010977352
32,-23.204396144604214,3.4153595353308446,-0.18346801421012637,-7.7028990226002305,-0.880913635985214,0.09001560895528822,-0.020103985268819624,0.03909980533960095,0.0054870786559942375,-0.00021207458700855526,-7.300488375162781e-05,-0.011596736744516728,130.84745866034035
33,-24.80902884587776,3.206682394933559,-0.17342601848927988,-7.767504791858975,-0.9080326506801045,0.01618504720642062,-0.02366634308243646,0.03784366550181996,0.005534258709969507,-0.000158785491729743,-9.050190558707342e-05,-0.011515706692796637,184.3658994953527
34,-26.429490585697582,3.002848613132699,-0.18768800520256113,-7.735838572561099,-0.9131835557292948,-0.12095979143818573,-0.02411711147807811,0.03427881539049553,0.00787234630198931,-0.00017789409089420284,5.696897890171385e-05,-0.011443156487675217,260.85847131101457
35,-28.21281101725601,2.8080767076266633,-0.22074001197166682,-7.805285818211892,-0.9529880018953708,-0.08652581292151616,-0.03166718233103621,0.02953674676527918,0.007709199440188341,-0.00016301665395543078,-1.6413072820255028e-05,-0.011354533558082048,355.1964348946957
36,-29.927730808581217,2.597839658739981,-0.23253488399523878,-7.817531818138221,-0.9668803445203807,-0.0652908728551298,-0.0363551503135593,0.02611587505885624,0.006684046114816138,-0.00019401551050334914,2.3434439909166758e-05,-0.011269530109146123,391.36437591062906
37,-31.681468237678516,2.3944168474012133,-0.2606659967608269,-7.857910889639549,-0.9576547648473427,-0.09523428058954864,-0.04274084406700794,0.027138578112096235,0.005002695159257054,-0.0001851095632376663,6.887869808400831e-05,-0.011194983558339703,552.5700897354244
38,-35.28603127915161,2.0163714751112622,-0.284587750884037,-7.994746868775361,-0.9311294223329737,-0.023855640844530932,-0.05358614696092154,0.028351414077087314,0.003839851967153164,-0.00023834296567081957,-8.217581949466946e-05,-0.011041738570425518,675.3521876548162
39,-39.289445718602394,1.628370874544981,-0.3817506237697215,-8.189728583735599,-0.9311876858127817,-0.1602549037876233,-0.0710878752616058,0.02933790092143224,0.006148555230601818,-0.0002320076912237584,0.00010382755245408905,-0.010930789492990646,339.0583926128876
40,-41.47958579570893,1.4016794165188802,-0.4645799766472947,-8.394914886954078,-0.958908165938299,-0.12422884474099596,-0.08823707623627,0.03718729233067265,0.005640385676142382,-0.00022995082870388422,7.049280971058923e-05,-0.010856702362342676,445.1091549407947
41,-43.71977743681426,1.1731428809680728,-0.53299130935901,-8.564574320168772,-0.9270608522904892,-0.093838317795298,-0.10405259475529134,0.04208217834705363,0.004858879076303303,-0.00038104887143405777,0.0001276988146624745,-0.010794322846451656,437.7311200177956
42,-46.16255869904839,0.9151505079313474,-0.6134620275340454,-8.777761291214736,-0.9882999899297218,-0.023203761262395588,-0.12324244651788786,0.04442256637182121,0.005381762458431728,-0.0003854010986713754,1.7292525900068485e-05,-0.010728810740900681,566.6478593689441
43,-48.9270857139951,0.6070226651459489,-0.703204148222947,-9.075436730647455,-1.0662096623091155,-0.05526549804523805,-0.1510119660354689,0.048439668354353566,0.005329823878857686,-0.0005017298771597862,4.2354935060273156e-05,-0.010645458925899031,770.7715522952768
44,-50.73316083753144,0.22736102304670547,-0.8264453663678889,-9.273977009660715,-1.2301081237945057,-0.15963849211651948,-0.17584871630826238,0.06711950119618235,0.006593447821431456,-0.0005991436460057335,0.00013844262179493012,-0.0105201376248165,1050.253997540407
45,-50.64196293634908,0.008512266794845277,-0.7450879817284963,-8.775134000059063,-1.2321745261541122,-0.10032727648955425,-0.1430857189302961,0.06741027296619229,0.004160275537793257,-0.0005357483247525024,3.037359846641781e-05,-0.0104463000093919,390.4793951836146
46,-50.19610583409113,0.001762891232819641,-0.5509781571075085,-7.982692589368415,-1.0985213097911828,-0.0065191403287626765,-0.08922177468864666,0.053813652693115964,0.002881346513012595,-0.0004026554917615063,-6.475422275808616e-05,-0.01042014451867296,744.378812624364
